c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, margin, auc
0.01, 0.001, 0.05, 16, 0.1, 0.0001, 0, 128, 0.0001, 0.01, 64, 0.5, 0.511102310153
0.0001, 0, 0.5, 8, 0.1, 0.0001, 0.7, 128, 0.0001, 0.001, 16, 1, 0.521086359238
0.01, 0, 0, 16, 0, 0.01, 0.3, 64, 0.0001, 0, 4, 0.5, 0.505953262834
0, 0.0001, 0.3, 32, 0, 0, 0.9, 258, 0.01, 0.0001, 16, 0.5, 0.507725004917
0, 0.001, 0.5, 16, 0.001, 0.1, 0.3, 258, 0.01, 0.01, 16, 5, 0.567663858648
0.001, 0.01, 0.3, 32, 0, 0.0001, 0.3, 258, 0.1, 0.001, 64, 0.5, 0.50626975529
0.0001, 0.01, 0, 32, 0.1, 0.0001, 0.1, 128, 0.01, 0.1, 64, 0.2, 0.506352765823
0.1, 0, 0.5, 32, 0.0001, 0.01, 0.3, 32, 0.01, 0, 64, 2, 0.517656392962
0.0001, 0.0001, 0.5, 32, 0.0001, 0, 0.9, 258, 0, 0, 64, 1, 0.497802233654
0, 0.01, 0.3, 8, 0, 0.1, 0.1, 64, 0.1, 0.001, 16, 0.5, 0.511965488141
0.1, 0, 0, 32, 0.1, 0.0001, 0.5, 64, 0, 0.001, 4, 0.2, 0.50839345677
0.001, 0.001, 0, 32, 0.0001, 0, 0.9, 128, 0, 0.001, 64, 2, 0.51723071074
0.0001, 0.1, 0.5, 32, 0.1, 0.01, 0, 128, 0.001, 0.1, 16, 0.5, 0.500418801951
0.0001, 0.0001, 0.5, 32, 0.001, 0.1, 0.9, 32, 0.0001, 0, 4, 0.2, 0.499918896999
0, 0.0001, 0.3, 16, 0.0001, 0.001, 0.5, 32, 0.001, 0.001, 4, 5, 0.596667133683
0.01, 0.0001, 0.1, 8, 0.001, 0.0001, 0, 128, 0.001, 0.1, 16, 0.2, 0.510011806966
0, 0, 0.3, 16, 0.01, 0.0001, 0.05, 32, 0.001, 0.0001, 4, 2, 0.583454316909
0.0001, 0.0001, 0.5, 8, 0.001, 0, 0.05, 258, 0.1, 0.01, 16, 1, 0.531927482209
0.1, 0, 0.1, 8, 0.1, 0, 0, 32, 0.001, 0.001, 16, 2, 0.540132211704
0.0001, 0.001, 0.3, 16, 0.01, 0, 0.7, 32, 0.1, 0.001, 4, 2, 0.550823205325
0.0001, 0, 0.5, 8, 0.01, 0.01, 0, 258, 0.1, 0.001, 64, 1, 0.536102596283
0.01, 0.1, 0.05, 16, 0.1, 0.01, 0.7, 32, 0.001, 0.001, 64, 1, 0.510545047685
