c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, c1_width, c2_W_regularizer, c2_b_regularizer, c2_dropout, c2_filters, c2_width, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, d2_W_regularizer, d2_b_regularizer, d2_dropout, d2_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, epochs, learning_rate, margin, auc
0.0001, 0.001, 0.05, 8, 20, 0.001, 0.001, 0.05, 32, 8, 0.1, 0.01, 0.1, 128, 0.01, 0, 0.1, 128, 0.001, 0, 64, 50, 1e-05, 1, 0.533196425153
0.1, 0.1, 0, 16, 20, 0, 0.001, 0.1, 0, 5, 0.1, 0.01, 0.05, 128, 0.001, 0.001, 0.1, 128, 0, 0.0001, 16, 50, 0.001, 1, 0.670735129965
0.0001, 0, 0, 16, 10, 0.1, 0.0001, 0.1, 32, 5, 0.001, 0.0001, 0.1, 128, 0.01, 0, 0.05, 128, 0.001, 0.001, 16, 50, 0.001, 10, 0.676748894454
0.1, 0.1, 0.3, 16, 20, 0.01, 0, 0, 32, 5, 0.001, 0.01, 0.1, 128, 0.1, 0.001, 0.1, 128, 1e-05, 0.01, 16, 50, 0.0001, 1, 0.669084141239
0.01, 0.001, 0, 16, 20, 0.01, 0.001, 0.1, 0, 8, 0.01, 0, 0.05, 128, 0.001, 0.001, 0.1, 128, 0.0001, 0.01, 64, 50, 0.001, 10, 0.720899631583
0.1, 0, 0.3, 16, 20, 0.001, 0.01, 0.1, 8, 8, 0.001, 0.001, 0.05, 128, 0.01, 0.1, 0.1, 128, 0, 0, 64, 50, 0.0001, 10, 0.69528789592
0.0001, 0.01, 0.05, 16, 10, 0.01, 0, 0.1, 32, 5, 0.001, 0.1, 0.1, 128, 0.1, 0.1, 0.1, 128, 0.0001, 0.01, 64, 50, 0.001, 10, 0.70361364188
0.001, 0, 0, 8, 20, 0, 0.001, 0, 16, 3, 0.01, 0.01, 0.1, 128, 0.001, 0.0001, 0.1, 128, 0.0001, 0.0001, 64, 50, 0.0001, 1, 0.623575083422
0.0001, 0.001, 0.1, 8, 10, 0.001, 0, 0.1, 16, 8, 0.001, 0.01, 0.1, 128, 0.1, 0.1, 0.1, 128, 1e-05, 0.001, 64, 50, 0.0001, 10, 0.625087927361
0.001, 0, 0.05, 16, 5, 0, 0, 0.1, 16, 5, 0.01, 0.0001, 0.1, 128, 0.1, 0.0001, 0.1, 128, 1e-05, 0.1, 16, 50, 1e-05, 1, 0.529507836997
0.01, 0.001, 0, 32, 10, 0, 0.1, 0.1, 16, 3, 0.001, 0.001, 0.05, 128, 0.1, 0.0001, 0.05, 128, 0.0001, 0.0001, 16, 50, 0.001, 10, 0.737785513149
0, 0.01, 0.05, 8, 5, 0.0001, 0.001, 0, 0, 5, 0.1, 0.01, 0.1, 128, 0.001, 0.01, 0.05, 128, 1e-05, 0.1, 64, 50, 0.001, 25, 0.670524012211
0.1, 0.1, 0.1, 32, 20, 0.001, 0.01, 0.1, 16, 8, 0.01, 0.01, 0.05, 128, 0.1, 0.0001, 0.1, 128, 0.0001, 0, 64, 50, 1e-05, 25, 0.677113167299
0.1, 0.1, 0.05, 32, 20, 0.0001, 0.1, 0.1, 0, 3, 0.01, 0.01, 0.05, 128, 0.01, 0.1, 0.05, 128, 0.001, 0.1, 64, 50, 0.0001, 10, 0.645189934282
0.01, 0.0001, 0.3, 32, 10, 0.001, 0, 0.1, 32, 3, 0.1, 0.01, 0.1, 128, 0.1, 0, 0.1, 128, 0.001, 0.001, 16, 50, 1e-05, 10, 0.668000307836
0.0001, 0.01, 0, 32, 20, 0.1, 0.01, 0.1, 0, 5, 0.1, 0.001, 0.1, 128, 0.01, 0, 0.05, 128, 1e-05, 0.0001, 16, 50, 0.001, 5, 0.728825611446
0.1, 0, 0.05, 32, 5, 0.001, 0.1, 0.1, 32, 3, 0.1, 0.1, 0.1, 128, 0.1, 0.01, 0.1, 128, 1e-05, 0.0001, 64, 50, 1e-05, 50, 0.684677702726
0.0001, 0.01, 0.05, 16, 10, 0.1, 0.001, 0, 32, 8, 0.001, 0.0001, 0.05, 128, 0.001, 0, 0.05, 128, 0, 0.001, 16, 50, 0.001, 25, 0.688246682045
0.0001, 0.1, 0.3, 16, 5, 0.0001, 0.1, 0, 32, 8, 0.01, 0, 0.05, 128, 0.01, 0.1, 0.1, 128, 0, 0, 64, 50, 1e-05, 50, 0.703464433407
